เวลา (วินาที),ระยะที่วัดได้ (เมตร),ความเร็ว (m/s),Error มุม (rad)
0.006,0.0,0.06,0.0
0.051,0.0,0.07,0.0
0.101,0.0,0.08,0.0
0.151,0.0,0.09,0.0
0.201,0.002,0.1,0.0
0.251,0.0044,0.11,-0.0028
0.301,0.0067,0.12,-0.0079
0.351,0.0112,0.13,-0.012
0.401,0.0143,0.14,-0.0133
0.451,0.0195,0.15,-0.0129
0.501,0.0236,0.16,-0.0138
0.551,0.0298,0.17,-0.0138
0.601,0.0343,0.18,-0.0157
0.651,0.0419,0.19,-0.0164
0.701,0.047,0.2,-0.0166
0.751,0.0526,0.21,-0.018
0.801,0.0614,0.22,-0.018
0.851,0.0676,0.23,-0.0182
0.901,0.0776,0.24,-0.0188
0.951,0.0847,0.25,-0.0194
1.001,0.0956,0.26,-0.0194
1.05,0.1032,0.27,-0.0195
1.101,0.1154,0.28,-0.0197
1.15,0.1238,0.29,-0.0199
1.201,0.1368,0.3,-0.0202
1.25,0.1459,0.31,-0.0204
1.301,0.1603,0.32,-0.0208
1.351,0.17,0.33,-0.0208
1.401,0.1853,0.34,-0.0211
1.451,0.196,0.35,-0.0206
1.501,0.2124,0.36,-0.0208
1.551,0.2237,0.37,-0.0211
1.6,0.2412,0.38,-0.0209
1.65,0.2532,0.39,-0.0211
1.701,0.2717,0.4,-0.0209
1.75,0.2844,0.41,-0.0216
1.801,0.3041,0.42,-0.0216
1.85,0.3176,0.43,-0.0218
1.901,0.3383,0.44,-0.0216
1.951,0.3524,0.45,-0.0216
2.001,0.3743,0.46,-0.0218
2.05,0.3893,0.47,-0.0215
2.101,0.4124,0.48,-0.0206
2.151,0.4281,0.49,-0.0201
2.201,0.4523,0.5,-0.0197
2.251,0.4685,0.5,-0.0195
2.301,0.4935,0.5,-0.0195
2.351,0.5101,0.5,-0.0194
2.401,0.5352,0.5,-0.0192
2.451,0.5519,0.5,-0.0192
2.501,0.577,0.5,-0.0182
2.551,0.5938,0.5,-0.0176
2.601,0.6191,0.5,-0.0171
2.651,0.636,0.5,-0.0166
2.701,0.6615,0.5,-0.0154
2.75,0.6785,0.5,-0.0145
2.801,0.7039,0.5,-0.0136
2.851,0.721,0.5,-0.0127
2.901,0.7465,0.5,-0.0124
2.951,0.7634,0.5,-0.0129
3.001,0.7892,0.5,-0.0124
3.051,0.8063,0.5,-0.0115
3.101,0.832,0.5,-0.0105
3.151,0.8492,0.5,-0.0105
3.201,0.875,0.5,-0.0101
3.251,0.8922,0.5,-0.0096
3.301,0.9181,0.5,-0.0086
3.351,0.9352,0.5,-0.0086
3.401,0.9609,0.5,-0.0084
3.45,0.9781,0.5,-0.0089
3.501,1.0041,0.5,-0.0086
3.551,1.0213,0.5,-0.0082
3.6,1.0472,0.5,-0.0075
3.651,1.0645,0.5,-0.0073
3.701,1.082,0.5,-0.0075
3.75,1.1081,0.5,-0.0063
3.801,1.1255,0.5,-0.0052
3.851,1.1515,0.5,-0.0051
3.901,1.1688,0.5,-0.0052
3.951,1.195,0.5,-0.0052
4.001,1.2125,0.5,-0.0052
4.051,1.2389,0.5,-0.0042
4.101,1.2563,0.5,-0.0037
4.151,1.2828,0.5,-0.0028
4.201,1.3004,0.5,-0.0026
4.251,1.3267,0.5,-0.0017
4.301,1.3443,0.5,-0.0002
4.351,1.3704,0.5,0.0
4.401,1.3881,0.5,0.0
4.451,1.4145,0.5,-0.0005
4.501,1.432,0.5,-0.001
4.551,1.4586,0.5,0.0002
4.601,1.4762,0.5,0.0003
4.651,1.5027,0.5,0.0007
4.701,1.5205,0.5,0.0005
4.75,1.547,0.5,0.0007
4.801,1.5646,0.5,0.0007
4.85,1.5913,0.5,0.0003
4.901,1.6092,0.5,0.0003
4.951,1.6357,0.5,0.0002
5.0,1.6535,0.5,0.0002
5.051,1.6804,0.5,0.0003
5.1,1.6984,0.5,0.0009
5.151,1.7255,0.5,0.0019
5.201,1.7435,0.5,0.0019
5.251,1.7705,0.5,0.0026
5.301,1.7886,0.5,0.003
5.351,1.8154,0.5,0.0035
5.401,1.8333,0.5,0.0037
5.451,1.8602,0.5,0.0024
5.501,1.8781,0.5,0.0017
5.551,1.9052,0.5,0.0023
5.601,1.9231,0.5,0.0019
5.651,1.9499,0.5,0.0016
5.701,1.968,0.5,0.0016
5.75,1.9949,0.5,0.0012
5.801,2.0128,0.5,0.001
5.851,2.0397,0.5,0.001
5.901,2.0574,0.5,0.0007
5.951,2.0842,0.5,-0.0009
6.001,2.1023,0.5,-0.0019
6.051,2.1293,0.5,-0.0016
6.101,2.1471,0.5,-0.0014
6.151,2.1743,0.5,-0.0012
6.201,2.1924,0.5,-0.0003
6.251,2.2197,0.5,0.0005
6.301,2.2378,0.5,0.001
6.35,2.2648,0.5,0.0005
6.401,2.2831,0.5,0.0002
6.451,2.3106,0.5,-0.0002
6.501,2.3287,0.5,0.0003
6.551,2.3469,0.5,0.0012
6.601,2.3742,0.5,0.0023
6.651,2.3925,0.5,0.0023
6.701,2.42,0.5,0.0026
6.751,2.4383,0.5,0.0035
6.801,2.4656,0.5,0.0038
6.85,2.484,0.5,0.004
