เวลา (วินาที),ระยะที่วัดได้ (เมตร),ความเร็ว (m/s),Error มุม (rad)
0.047,0.0,0.06,0.0
0.05,0.0,0.07,0.0
0.1,0.0,0.08,0.0
0.15,0.0,0.09,0.0
0.2,0.0011,0.1,0.0
0.25,0.0032,0.11,0.0
0.3,0.0061,0.12,-0.0037
0.351,0.0107,0.13,-0.0084
0.401,0.0139,0.14,-0.0086
0.45,0.0174,0.15,-0.0077
0.5,0.0231,0.16,-0.0079
0.55,0.0273,0.17,-0.0082
0.6,0.0344,0.18,-0.0101
0.65,0.0391,0.19,-0.0105
0.7,0.0472,0.2,-0.0119
0.75,0.0526,0.21,-0.012
0.8,0.0617,0.22,-0.0127
0.85,0.068,0.23,-0.0143
0.901,0.078,0.24,-0.0155
0.95,0.085,0.25,-0.0157
1.0,0.096,0.26,-0.0175
1.05,0.1036,0.27,-0.0182
1.1,0.1159,0.28,-0.0197
1.151,0.1244,0.29,-0.0201
1.2,0.1376,0.3,-0.0204
1.251,0.1467,0.31,-0.0213
1.301,0.1612,0.32,-0.0223
1.351,0.171,0.33,-0.0229
1.4,0.1864,0.34,-0.0234
1.45,0.1971,0.35,-0.0239
1.5,0.2135,0.36,-0.0253
1.551,0.225,0.37,-0.0257
1.601,0.2426,0.38,-0.0251
1.651,0.2546,0.39,-0.0255
1.7,0.2733,0.4,-0.0265
1.75,0.2861,0.41,-0.0271
1.801,0.3057,0.42,-0.0272
1.85,0.3194,0.43,-0.0271
1.9,0.3402,0.44,-0.0276
1.95,0.3544,0.45,-0.0279
2.0,0.3764,0.46,-0.0284
2.05,0.3914,0.47,-0.0283
2.101,0.4143,0.48,-0.0281
2.151,0.4302,0.49,-0.0281
2.2,0.4541,0.5,-0.0283
2.251,0.4705,0.5,-0.0279
2.3,0.4957,0.5,-0.0281
2.351,0.5123,0.5,-0.0279
2.401,0.5376,0.5,-0.0272
2.451,0.5543,0.5,-0.0274
2.5,0.5794,0.5,-0.0283
2.55,0.5964,0.5,-0.0284
2.6,0.6219,0.5,-0.0279
2.651,0.6389,0.5,-0.0271
2.7,0.6645,0.5,-0.0262
2.75,0.6815,0.5,-0.0255
2.8,0.7071,0.5,-0.0253
2.85,0.7242,0.5,-0.025
2.901,0.7498,0.5,-0.0237
2.951,0.7668,0.5,-0.0237
3.001,0.7925,0.5,-0.0248
3.051,0.8095,0.5,-0.0253
3.101,0.8354,0.5,-0.025
3.151,0.8527,0.5,-0.0237
3.2,0.8698,0.5,-0.0234
3.251,0.8957,0.5,-0.0232
3.3,0.913,0.5,-0.0234
3.351,0.9389,0.5,-0.0232
3.401,0.9562,0.5,-0.0223
3.451,0.9821,0.5,-0.022
3.5,0.9993,0.5,-0.0227
3.551,1.0254,0.5,-0.0236
3.6,1.0429,0.5,-0.0232
3.651,1.0688,0.5,-0.0222
3.701,1.0864,0.5,-0.0218
3.751,1.1125,0.5,-0.0222
3.8,1.1299,0.5,-0.0225
3.851,1.1563,0.5,-0.022
3.9,1.1738,0.5,-0.0211
3.95,1.1999,0.5,-0.0209
4.0,1.2175,0.5,-0.0215
4.051,1.2439,0.5,-0.0222
4.1,1.2615,0.5,-0.0218
4.151,1.2879,0.5,-0.0211
4.201,1.3055,0.5,-0.0209
4.251,1.332,0.5,-0.0208
4.3,1.3497,0.5,-0.0204
4.351,1.3761,0.5,-0.0201
4.401,1.3938,0.5,-0.0195
4.451,1.4202,0.5,-0.0194
4.5,1.4379,0.5,-0.0195
4.551,1.4645,0.5,-0.0195
4.6,1.4822,0.5,-0.0194
4.651,1.5088,0.5,-0.0188
4.701,1.5268,0.5,-0.0183
4.751,1.5534,0.5,-0.0171
4.8,1.5713,0.5,-0.0168
4.851,1.5981,0.5,-0.0169
4.9,1.616,0.5,-0.0166
4.95,1.643,0.5,-0.0157
5.0,1.661,0.5,-0.0159
5.051,1.6878,0.5,-0.0159
5.1,1.706,0.5,-0.0159
5.15,1.7331,0.5,-0.0152
5.2,1.751,0.5,-0.0148
5.251,1.778,0.5,-0.0136
5.3,1.7961,0.5,-0.0138
5.351,1.823,0.5,-0.0141
5.401,1.841,0.5,-0.0141
5.451,1.8678,0.5,-0.0143
5.501,1.8857,0.5,-0.0147
