เวลา (วินาที),มุมสะสม (องศา),ความเร็วเชิงมุม (rad/s),Error (องศา)
0.006,0.0,0.4,90.0
0.051,0.0,0.4,90.0
0.101,0.01,0.4,89.99
0.151,0.02,0.4,89.98
0.201,0.02,0.4,89.98
0.251,0.23,0.4,89.77
0.301,0.37,0.4,89.63
0.351,0.61,0.4,89.39
0.401,0.84,0.4,89.16
0.451,1.15,0.4,88.85
0.501,1.37,0.4,88.63
0.551,1.75,0.4,88.25
0.601,1.95,0.4,88.05
0.651,2.29,0.4,87.71
0.701,2.43,0.4,87.57
0.751,2.64,0.4,87.36
0.801,2.82,0.4,87.18
0.851,3.02,0.4,86.98
0.901,3.21,0.4,86.79
0.951,3.41,0.4,86.59
1.001,3.69,0.4,86.31
1.051,3.91,0.4,86.09
1.101,4.32,0.4,85.68
1.151,4.5,0.4,85.5
1.201,4.73,0.4,85.27
1.251,4.94,0.4,85.06
1.301,5.23,0.4,84.77
1.351,5.41,0.4,84.59
1.401,5.75,0.4,84.25
1.451,5.99,0.4,84.01
1.501,6.42,0.4,83.58
1.551,6.77,0.4,83.23
1.601,7.08,0.4,82.92
1.651,7.26,0.4,82.74
1.701,7.53,0.4,82.47
1.751,7.69,0.4,82.31
1.801,7.99,0.4,82.01
1.851,8.2,0.4,81.8
1.901,8.6,0.4,81.4
1.951,8.98,0.4,81.02
2.001,9.33,0.4,80.67
2.051,9.49,0.4,80.51
2.101,9.85,0.4,80.15
2.151,10.07,0.4,79.93
2.201,10.49,0.4,79.51
2.251,11.01,0.4,78.99
2.301,11.66,0.4,78.34
2.351,12.03,0.4,77.97
2.401,12.63,0.4,77.37
2.451,12.93,0.4,77.07
2.501,13.43,0.4,76.57
2.551,13.83,0.4,76.17
2.601,14.56,0.4,75.44
2.651,15.15,0.4,74.85
2.701,15.66,0.4,74.34
2.751,15.94,0.4,74.06
2.801,16.41,0.4,73.59
2.851,16.75,0.4,73.25
2.901,17.43,0.4,72.57
2.951,18.05,0.4,71.95
3.001,18.77,0.4,71.23
3.051,19.19,0.4,70.81
3.101,19.94,0.4,70.06
3.15,20.36,0.4,69.64
3.201,20.99,0.4,69.01
3.251,21.53,0.4,68.47
3.301,22.24,0.4,67.76
3.351,22.74,0.4,67.26
3.401,23.44,0.4,66.56
3.451,23.88,0.4,66.12
3.501,24.73,0.4,65.27
3.551,25.28,0.4,64.72
3.601,26.08,0.4,63.92
3.651,26.62,0.4,63.38
3.702,27.21,0.4,62.79
3.751,27.59,0.4,62.41
3.801,28.12,0.4,61.88
3.851,28.82,0.4,61.18
3.901,29.44,0.4,60.56
3.951,30.49,0.4,59.51
4.001,30.96,0.4,59.04
4.051,31.57,0.4,58.43
4.101,32.15,0.4,57.85
4.151,32.87,0.4,57.13
4.201,33.4,0.4,56.6
4.251,34.44,0.4,55.56
4.301,35.03,0.4,54.97
4.351,35.84,0.4,54.16
4.402,36.27,0.4,53.73
4.451,37.07,0.4,52.93
4.501,37.76,0.4,52.24
4.551,38.51,0.4,51.49
4.601,38.95,0.4,51.05
4.651,39.91,0.4,50.09
4.701,40.48,0.4,49.52
4.751,41.32,0.4,48.68
4.801,41.99,0.4,48.01
4.851,42.64,0.4,47.36
4.901,43.06,0.4,46.94
4.951,43.94,0.4,46.06
5.001,44.6,0.4,45.4
5.051,45.59,0.4,44.41
5.101,46.25,0.4,43.75
5.151,46.86,0.4,43.14
5.201,47.25,0.4,42.75
5.251,48.09,0.4,41.91
5.301,48.7,0.4,41.3
5.351,49.84,0.4,40.16
5.401,50.43,0.4,39.57
5.451,51.13,0.4,38.87
5.501,51.68,0.4,38.32
5.551,52.45,0.4,37.55
5.601,53.06,0.4,36.94
5.651,54.27,0.4,35.73
5.701,54.84,0.4,35.16
5.751,55.56,0.4,34.44
5.801,56.17,0.4,33.83
5.851,57.01,0.4,32.99
5.901,57.59,0.4,32.41
5.951,58.69,0.4,31.31
6.001,59.27,0.4,30.73
6.051,60.22,0.4,29.78
6.101,60.76,0.4,29.24
6.151,61.65,0.4,28.35
6.201,62.38,0.4,27.62
6.251,63.25,0.4,26.75
6.301,63.81,0.4,26.19
6.351,64.86,0.4,25.14
6.401,65.47,0.4,24.53
6.451,66.31,0.4,23.69
6.501,66.94,0.4,23.06
6.551,67.79,0.4,22.21
6.601,68.44,0.4,21.56
6.651,69.64,0.4,20.36
6.701,70.28,0.4,19.72
6.751,71.08,0.4,18.92
6.801,71.7,0.4,18.3
6.851,72.25,0.4,17.75
6.901,73.24,0.4,16.76
6.951,74.1,0.4,15.9
7.001,74.94,0.4,15.06
7.051,75.42,0.4,14.58
7.101,76.41,0.4,13.59
7.151,77.08,0.4,12.92
7.201,78.36,0.4,11.64
7.251,78.97,0.4,11.03
7.301,79.73,0.4,10.27
7.351,80.35,0.4,9.65
7.401,81.31,0.4,8.69
7.451,82.05,0.4,7.95
7.501,83.34,0.4,6.66
7.551,83.88,0.4,6.12
7.601,84.57,0.4,5.43
7.651,85.37,0.4,4.63
7.701,86.48,0.4,3.52
7.751,87.24,0.4,2.76
7.801,88.33,0.4,1.67
7.851,88.87,0.4,1.13
8.402,91.92,0.0,-1.92
