เวลา (วินาที),มุมสะสม (องศา),ความเร็วเชิงมุม (rad/s),Error (องศา)
0.006,0.0,0.6,90.0
0.05,0.0,0.6,90.0
0.101,0.0,0.6,90.0
0.151,0.0,0.6,90.0
0.201,0.02,0.6,89.98
0.25,0.95,0.6,89.05
0.3,1.57,0.6,88.43
0.351,2.23,0.6,87.77
0.4,2.71,0.6,87.29
0.451,3.55,0.6,86.45
0.501,4.23,0.6,85.77
0.55,5.05,0.6,84.95
0.6,5.82,0.6,84.18
0.651,6.24,0.6,83.76
0.701,7.02,0.6,82.98
0.75,7.63,0.6,82.37
0.801,8.78,0.6,81.22
0.85,9.39,0.6,80.61
0.901,10.17,0.6,79.83
0.95,10.88,0.6,79.12
1.001,11.89,0.6,78.11
1.051,12.52,0.6,77.48
1.101,13.35,0.6,76.65
1.151,13.9,0.6,76.1
1.201,14.98,0.6,75.02
1.251,15.94,0.6,74.06
1.3,16.84,0.6,73.16
1.35,17.29,0.6,72.71
1.4,18.29,0.6,71.71
1.45,19.04,0.6,70.96
1.501,20.19,0.6,69.81
1.55,20.94,0.6,69.06
1.601,21.81,0.6,68.19
1.65,22.49,0.6,67.51
1.7,23.69,0.6,66.31
1.75,24.3,0.6,65.7
1.8,25.4,0.6,64.6
1.85,26.21,0.6,63.79
1.901,27.46,0.6,62.54
1.95,28.22,0.6,61.78
2.001,29.08,0.6,60.92
2.051,29.82,0.6,60.18
2.101,31.31,0.6,58.69
2.151,32.02,0.6,57.98
2.2,32.9,0.6,57.1
2.25,33.76,0.6,56.24
2.3,35.06,0.6,54.94
2.35,35.83,0.6,54.17
2.4,37.07,0.6,52.93
2.45,37.83,0.6,52.17
2.5,39.22,0.6,50.78
2.55,39.88,0.6,50.12
2.6,40.91,0.6,49.09
2.651,41.98,0.6,48.02
2.701,43.23,0.6,46.77
2.75,43.89,0.6,46.11
2.801,45.05,0.6,44.95
2.85,45.94,0.6,44.06
2.9,47.29,0.6,42.71
2.951,48.14,0.6,41.86
3.001,49.15,0.6,40.85
3.051,50.01,0.6,39.99
3.1,51.18,0.6,38.82
3.151,52.29,0.6,37.71
3.201,53.0,0.6,37.0
3.251,54.52,0.6,35.48
3.3,55.39,0.6,34.61
3.35,56.54,0.6,33.46
3.401,57.5,0.6,32.5
3.451,58.82,0.6,31.18
3.501,59.61,0.6,30.39
3.55,60.81,0.6,29.19
3.6,61.65,0.6,28.35
3.65,63.31,0.6,26.69
3.7,64.08,0.6,25.92
3.751,65.21,0.6,24.79
3.8,66.35,0.6,23.65
3.851,67.77,0.573,22.23
3.9,68.53,0.576,21.47
3.951,69.89,0.52,20.11
4.001,70.72,0.517,19.28
4.051,71.83,0.478,18.17
4.1,72.62,0.469,17.38
4.151,73.65,0.434,16.35
4.2,74.47,0.419,15.53
4.25,75.68,0.374,14.32
4.3,76.22,0.384,13.78
4.35,77.14,0.346,12.86
4.401,77.69,0.345,12.31
4.45,78.59,0.309,11.41
4.501,79.22,0.303,10.78
4.551,79.78,0.29,10.22
4.6,80.14,0.288,9.86
4.651,80.76,0.263,9.24
4.7,81.13,0.262,8.87
4.751,81.72,0.239,8.28
4.801,82.2,0.23,7.8
4.851,82.76,0.213,7.24
4.901,83.09,0.212,6.91
4.951,83.6,0.193,6.4
5.001,83.83,0.196,6.17
5.051,84.18,0.183,5.82
5.101,84.4,0.182,5.6
5.15,84.66,0.174,5.34
5.2,84.92,0.167,5.08
5.25,85.23,0.157,4.77
5.3,85.41,0.157,4.59
5.35,85.79,0.14,4.21
5.4,86.05,0.138,3.95
5.45,86.38,0.126,3.62
5.501,86.55,0.128,3.45
5.551,86.69,0.125,3.31
5.601,86.74,0.127,3.26
5.651,86.85,0.122,3.15
5.701,86.9,0.123,3.1
5.751,86.99,0.119,3.01
5.801,87.05,0.119,2.95
5.851,87.13,0.116,2.87
5.9,87.18,0.116,2.82
5.95,87.2,0.116,2.8
6.0,87.27,0.113,2.73
6.05,87.34,0.111,2.66
6.101,87.41,0.109,2.59
6.15,87.45,0.109,2.55
6.201,87.59,0.102,2.41
6.251,87.65,0.103,2.35
6.301,87.74,0.1,2.26
6.351,87.83,0.097,2.17
6.401,87.95,0.093,2.05
6.45,88.05,0.091,1.95
6.5,88.23,0.084,1.77
6.55,88.35,0.083,1.65
6.6,88.48,0.079,1.52
6.65,88.55,0.079,1.45
6.701,88.69,0.073,1.31
6.75,88.75,0.074,1.25
6.801,88.83,0.072,1.17
6.85,88.88,0.071,1.12
6.901,88.97,0.068,1.03
6.951,89.01,0.068,0.99
7.001,89.07,0.066,0.93
7.051,89.12,0.065,0.88
7.101,89.15,0.065,0.85
7.151,89.19,0.064,0.81
7.201,89.22,0.063,0.78
7.25,89.26,0.062,0.74
7.301,89.3,0.061,0.7
7.35,89.29,0.063,0.71
7.401,89.3,0.062,0.7
7.451,89.33,0.06,0.67
7.5,89.36,0.06,0.64
7.551,89.39,0.059,0.61
7.601,89.43,0.057,0.57
7.65,89.43,0.059,0.57
7.701,89.48,0.056,0.52
